127.0.0.1 - - [16/Oct/2024:10:05:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:05:45 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:05:45 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 200 18195
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:05:46 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:05:49 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1181
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:05:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:05:53 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:06:12 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:06:14 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5486
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:06:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:06:37 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:06:37 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5486
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:06:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:08:33 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5609
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:08:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:09:26 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:10:27 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:10:59 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:11:27 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5486
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:11:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:11:30 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [16/Oct/2024:10:11:47 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 -
